Москва,,,.113.232.1.,2020-02-27 00:57:33,1
,,,.113.232.1.,2020-02-27 00:57:33,2
Челябинск,,,.113.223.1384.104.,2020-02-27 00:57:34,3
Самара,,,.113.226.1586.78.,2020-02-27 00:57:39,4
Екатеринбург,,,.113.223.1261.3.,2020-02-27 00:57:40,5
Ижевск,,,.113.227.1646.96.,2020-02-27 00:57:46,6
Ярославль,,,.113.229.1806.112.,2020-02-27 00:57:50,7
Старая Деревня,,,.113.231.2.,2020-02-27 00:57:51,8
Дубровка,,,.113.232.1.,2020-02-27 00:57:54,9
Красноярск,,,.113.221.1146.54.,2020-02-27 00:58:06,10
Санкт-Петербург,,,.113.231.2.,2020-02-27 00:58:17,11
Сургут,,,.113.223.1368.1381.,2020-02-27 00:58:17,12
Пермь,,,.113.223.1317.72.,2020-02-27 00:58:22,13
Московские ворота,,,.113.231.2.,2020-02-27 00:58:26,14
Всеволожск,,,.113.231.2.,2020-02-27 00:58:27,15
Омск,,,.113.222.1249.68.,2020-02-27 00:58:30,16
Уфа,,,.113.223.1347.99.,2020-02-27 00:58:31,17
Румянцево,,,.113.232.1.,2020-02-27 00:58:34,18
Владимир,,,.113.229.1716.23.,2020-02-27 00:58:43,19
Ломоносовская,,,.113.231.2.,2020-02-27 00:58:50,20
Брянск,,,.113.230.1828.19.,2020-02-27 00:58:51,21
Савеловская,,,.113.232.1.,2020-02-27 00:58:54,22
Барнаул,,,.113.222.1217.11.,2020-02-27 00:58:56,23
Томск,,,.113.222.1255.90.,2020-02-27 00:59:03,24
Астана,,,.40.159.,2020-02-27 00:59:09,25
Воронеж,,,.113.230.1844.26.,2020-02-27 00:59:12,26
Краснодар,,,.113.224.1438.53.,2020-02-27 00:59:13,27
Парк Победы,,,.113.232.1.,2020-02-27 00:59:18,28
поселок Большой Исток,,,.113.223.1261.4252.,2020-02-27 00:59:20,29
Симферополь,,,.113.225.2114.131.,2020-02-27 00:59:22,30
Новосибирск,,,.113.222.1202.4.,2020-02-27 00:59:26,31
Минск,,,.16.1002.,2020-02-27 00:59:28,32
Ставрополь,,,.113.224.1481.84.,2020-02-27 00:59:36,33
Новочеркасская,,,.113.231.2.,2020-02-27 00:59:37,34
Выставочная,,,.113.232.1.,2020-02-27 00:59:39,35
Сочи,,,.113.224.1438.2377.,2020-02-27 00:59:45,36
Вологда,,,.113.229.1739.25.,2020-02-27 00:59:57,37
Лаишево,,,.113.227.1624.1636.,2020-02-27 01:00:04,38
Севастополь,,,.113.225.2114.130.,2020-02-27 01:00:11,39
Звенигород,,,.113.232.2019.143.2050.,2020-02-27 01:00:11,40
Тверь,,,.113.229.1783.89.,2020-02-27 01:00:17,41
Дзержинск,,,.113.228.1679.247.,2020-02-27 01:00:19,42
Серпуховская,,,.113.232.1.,2020-02-27 01:00:35,43
Новый Уренгой,,,.113.223.1414.1419.,2020-02-27 01:00:37,44
Алматы,,,.40.160.,2020-02-27 01:01:02,45
